table,column,uncompressed_size,algorithm,compressed_size,compression_time_ms,decompression_time_ms
title,title,1594190,FSST,965568,5.620,1.231
title,title,1594190,OnPair16,1115889,38.736,0.675
title,phonetic_code,277890,FSST,136259,1.769,0.210
title,phonetic_code,277890,OnPair16,207665,4.455,0.087
title,md5sum,3200000,FSST,1680443,2.861,0.837
title,md5sum,3200000,OnPair16,2260142,109.529,0.940
movie_companies,note,2076673,FSST,601026,2.631,0.535
movie_companies,note,2076673,OnPair16,456502,10.405,0.205
keyword,keyword,1491359,FSST,785252,4.946,0.929
keyword,keyword,1491359,OnPair16,879395,29.972,0.469
keyword,phonetic_code,465380,FSST,220173,2.459,0.343
keyword,phonetic_code,465380,OnPair16,299919,6.443,0.130
person_info,info,11347577,FSST,6670121,25.673,3.006
person_info,info,11347577,OnPair16,4586628,144.010,1.892
aka_title,title,2087206,FSST,1333324,7.507,1.375
aka_title,title,2087206,OnPair16,1479643,54.020,0.702
aka_title,phonetic_code,466171,FSST,226953,2.286,0.332
aka_title,phonetic_code,466171,OnPair16,308152,6.898,0.137
aka_title,note,2099109,FSST,475268,2.738,0.744
aka_title,note,2099109,OnPair16,383429,7.361,0.409
aka_title,md5sum,3200000,FSST,1683805,3.095,0.921
aka_title,md5sum,3200000,OnPair16,2257091,110.690,0.894
name,name,1434600,FSST,786083,5.324,0.792
name,name,1434600,OnPair16,863907,30.085,0.516
name,imdb_index,42697,FSST,22858,0.645,0.041
name,imdb_index,42697,OnPair16,43743,0.751,0.020
name,gender,100000,FSST,100019,0.995,0.168
name,gender,100000,OnPair16,201284,1.949,0.099
name,name_pcode_cf,480015,FSST,198982,1.364,0.220
name,name_pcode_cf,480015,OnPair16,218532,3.579,0.100
name,name_pcode_nf,457449,FSST,216970,2.220,0.306
name,name_pcode_nf,457449,OnPair16,290114,6.153,0.126
name,surname_pcode,218301,FSST,96973,1.054,0.240
name,surname_pcode,218301,OnPair16,138515,2.166,0.064
name,md5sum,3200000,FSST,1680223,3.037,0.872
name,md5sum,3200000,OnPair16,2257261,113.434,0.925
movie_info_idx,info,496145,FSST,212211,1.719,0.257
movie_info_idx,info,496145,OnPair16,333246,8.261,0.205
char_name,name,1386898,FSST,860423,5.505,1.061
char_name,name,1386898,OnPair16,977553,33.192,0.615
char_name,name_pcode_nf,447478,FSST,214927,2.628,0.373
char_name,name_pcode_nf,447478,OnPair16,301625,6.680,0.129
char_name,surname_pcode,248248,FSST,128691,2.018,0.265
char_name,surname_pcode,248248,OnPair16,183717,3.474,0.089
char_name,md5sum,3200000,FSST,1679880,3.025,0.910
char_name,md5sum,3200000,OnPair16,2258859,112.321,0.917
movie_info,info,702646,FSST,117677,1.078,0.187
movie_info,info,702646,OnPair16,204770,2.471,0.100
company_name,name,1805268,FSST,957954,5.887,1.029
company_name,name,1805268,OnPair16,1024338,38.749,0.654
company_name,country_code,365658,FSST,97205,1.117,0.177
company_name,country_code,365658,OnPair16,185479,2.421,0.092
company_name,name_pcode_nf,478175,FSST,230360,2.709,0.340
company_name,name_pcode_nf,478175,OnPair16,309400,7.371,0.131
company_name,name_pcode_sf,447464,FSST,214607,2.174,0.304
company_name,name_pcode_sf,447464,OnPair16,290164,6.266,0.117
company_name,md5sum,3200000,FSST,1680770,3.008,0.939
company_name,md5sum,3200000,OnPair16,2258240,122.397,0.919
aka_name,name,1537010,FSST,891475,5.636,0.908
aka_name,name,1537010,OnPair16,1043180,33.396,0.599
aka_name,name_pcode_cf,470529,FSST,209883,1.730,0.272
aka_name,name_pcode_cf,470529,OnPair16,266216,5.238,0.122
aka_name,name_pcode_nf,449880,FSST,213665,2.148,0.291
aka_name,name_pcode_nf,449880,OnPair16,285458,6.007,0.122
aka_name,surname_pcode,219206,FSST,103912,1.190,0.198
aka_name,surname_pcode,219206,OnPair16,155903,2.496,0.074
aka_name,md5sum,3200000,FSST,1681648,3.021,0.841
aka_name,md5sum,3200000,OnPair16,2310626,122.855,0.909
